AddressAccuracy,WnvPresent,dist_ohare,dist_mid,sprayed,temp_spread_1,PrecipTotal_1,Tavg_1,r_humidity_1,len_day_1,temp_spread_2,PrecipTotal_2,Tavg_2,r_humidity_2,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,month_1_July,month_1_June,month_1_May,month_1_October,month_1_September,Species_UNSPECIFIED CULEX
9,0,11.79741015443159,19.1911316647222,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,1,0,0,0,0,0,0,1,0,0,0
9,0,11.79741015443159,19.1911316647222,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
9,0,13.529993520230649,23.282748958476272,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,9.239546561742113,21.765962055315615,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,1,0,0,0,0,0,0,1,0,0,0
8,0,9.239546561742113,21.765962055315615,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,23.502769027518756,16.65974243581144,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,25.768891562424642,14.208347617368595,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,27.093538804008503,12.123327840176113,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,1,0,0,0,0,0,0,1,0,0,0
8,0,27.093538804008503,12.123327840176113,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,25.460507947715435,14.650499602615922,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,21.459175236489937,15.579278180305735,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,1,0,0,0,0,0,0,1,0,0,0
8,0,26.1738063094033,18.089035555699336,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,1,0,0,0,0,0,0,1,0,0,0
8,0,26.1738063094033,18.089035555699336,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,40.16988833573878,12.529614286727798,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,1,0,0,0,0,0,0,1,0,0,0
8,0,40.16988833573878,12.529614286727798,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,27.75395773987031,12.041888078219221,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
9,0,37.65904229971336,10.166679167973419,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,36.10212494335121,8.621636667777667,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,36.10212494335121,8.621636667777667,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,1,0,0,0,0,0,0,0,1,0,0,0
5,0,28.986274476131573,16.492613745584645,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,1,0,0,0,0,0,0,1,0,0,0
5,0,28.986274476131573,16.492613745584645,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,11.364960203862939,23.97192523812038,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,1,0,0,0,0,0,0,1,0,0,0
8,0,20.415370258772615,26.27719387235001,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,1,0,0,0,0,0,0,1,0,0,0
8,0,17.231924854570444,13.546339805027833,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
8,0,37.409153523693284,10.336105773999137,0,28,0.0,74.0,0.57,896.0,23,0.0,77.0,0.54,0,0,1,0,0,0,0,0,1,0,0,0
9,0,11.79741015443159,19.1911316647222,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
9,0,11.79741015443159,19.1911316647222,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,11.79741015443159,19.1911316647222,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,1,0,0,0,0,0,0,1,0,0,0,0
8,0,9.239546561742113,21.765962055315615,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,9.239546561742113,21.765962055315615,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,23.502769027518756,16.65974243581144,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,23.502769027518756,16.65974243581144,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,23.502769027518756,16.65974243581144,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,1,0,0,0,0,0,0,1,0,0,0,0
8,0,25.768891562424642,14.208347617368595,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,27.093538804008503,12.123327840176113,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,27.093538804008503,12.123327840176113,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,27.093538804008503,12.123327840176113,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,1,0,0,0,0,0,0,1,0,0,0,0
8,0,25.460507947715435,14.650499602615922,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,21.459175236489937,15.579278180305735,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,21.459175236489937,15.579278180305735,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,26.1738063094033,18.089035555699336,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,40.16988833573878,12.529614286727798,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,37.65904229971336,10.166679167973419,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,36.10212494335121,8.621636667777667,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,36.10212494335121,8.621636667777667,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,36.10212494335121,8.621636667777667,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,1,0,0,0,0,0,0,1,0,0,0,0
8,0,11.364960203862939,23.97192523812038,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,11.364960203862939,23.97192523812038,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,17.231924854570444,13.546339805027833,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,37.409153523693284,10.336105773999137,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,10.037398009306564,22.364502203038786,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,9.987281981469867,18.88903865814397,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,10.207324776340055,25.564614456134933,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,20.029608329668207,18.74885810352964,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,15.149226146046278,21.487854800620074,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,20.12133431016087,22.927503054095098,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,25.68971918517614,1.9660735907265665,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
9,0,21.52373750348878,14.053146408541732,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
5,0,38.247424628934525,10.972835709200755,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,26.14825455495553,11.533121830071357,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
9,0,26.14825455495553,11.533121830071357,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,28.87944509400431,13.853974679164335,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,40.85447328301627,13.972803169824708,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,40.85447328301627,13.972803169824708,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,40.85447328301627,13.972803169824708,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,1,0,0,0,0,0,0,1,0,0,0,0
9,0,14.76534887797958,19.55318054256043,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
9,0,14.76534887797958,19.55318054256043,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,13.72939116133069,18.69011331050619,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,13.72939116133069,18.69011331050619,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
3,0,28.247473950673054,14.4020809275429,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,19.480853600663668,19.587957554939653,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
9,0,19.480853600663668,19.587957554939653,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,20.486236095673338,16.803580706221833,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,21.921726838213644,24.207391434859904,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
9,0,21.284210797496183,25.352806815069233,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,14.023903523926304,15.031881592608215,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,14.023903523926304,15.031881592608215,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,24.40791647142913,7.306661616702243,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,17.180406327133355,14.756171061925142,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,39.42464067732472,12.06540074952474,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
9,0,39.42464067732472,12.06540074952474,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
8,0,39.93361604047437,13.258176024718972,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,17.516500905749698,18.118246544467393,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,1,0,0,0,0,0,1,0,0,0,0
8,0,17.516500905749698,18.118246544467393,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,20.2331795351537,20.40788299456957,0,17,0.42,56.0,0.74,906.0,12,0.27,57.0,0.69,0,0,1,0,0,0,0,1,0,0,0,0
9,0,11.79741015443159,19.1911316647222,0,22,0.16,81.0,0.67,913.0,18,0.0,82.0,0.65,0,1,0,0,0,0,0,1,0,0,0,0
9,0,11.79741015443159,19.1911316647222,0,22,0.16,81.0,0.67,913.0,18,0.0,82.0,0.65,0,0,1,0,0,0,0,1,0,0,0,0
9,0,11.79741015443159,19.1911316647222,0,22,0.16,81.0,0.67,913.0,18,0.0,82.0,0.65,0,0,0,1,0,0,0,1,0,0,0,0
9,0,13.529993520230649,23.282748958476272,0,22,0.16,81.0,0.67,913.0,18,0.0,82.0,0.65,0,1,0,0,0,0,0,1,0,0,0,0
