Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,weekday_name,day,month,year,temp_spread,Tavg2,r_humidity,len_day
1,2007-05-01,83,50,67.0,14,10.56,56,0, 2,448,1849, ,0,M,0.0,0.00,29.10,29.82,1.7,27,9.2,Tuesday,1,May,2007,33,19.44,0.56,840.5999999999999
2,2007-05-01,84,52,68.0,14,10.56,57,0, 3,448,1849, ,M,M,M,0.00,29.18,29.82,2.7,25,9.6,Tuesday,1,May,2007,32,20.0,0.55,840.5999999999999
1,2007-05-02,59,42,51.0,-3,5.56,47,14, 0,447,1850,BR,0,M,0.0,0.00,29.38,30.09,13.0,4,13.4,Wednesday,2,May,2007,17,10.56,0.71,841.8
2,2007-05-02,60,43,52.0,-3,5.56,47,13, 0,447,1850,BR HZ,M,M,M,0.00,29.44,30.08,13.3,2,13.4,Wednesday,2,May,2007,17,11.11,0.69,841.8
1,2007-05-03,66,46,56.0,2,4.44,48,9, 0,446,1851, ,0,M,0.0,0.00,29.39,30.12,11.7,7,11.9,Thursday,3,May,2007,20,13.33,0.55,843.0000000000001
2,2007-05-03,67,48,58.0,2,4.44,50,7, 0,446,1851,HZ,M,M,M,0.00,29.46,30.12,12.9,6,13.2,Thursday,3,May,2007,19,14.44,0.51,843.0000000000001
1,2007-05-04,66,49,58.0,4,5.0,50,7, 0,444,1852,RA,0,M,0.0,0,29.31,30.05,10.4,8,10.8,Friday,4,May,2007,17,14.44,0.53,844.8
2,2007-05-04,78,51,65.0,4,5.56,50,M,M,444,1852, ,M,M,M,0.00,29.36,30.04,10.1,7,10.4,Friday,4,May,2007,27,18.33,0.43,844.8
1,2007-05-05,66,53,60.0,5,3.33,49,5, 0,443,1853, ,0,M,0.0,0,29.40,30.10,11.7,7,12.0,Saturday,5,May,2007,13,15.56,0.44,846.0000000000002
2,2007-05-05,66,54,60.0,5,3.89,50,5, 0,443,1853, ,M,M,M,0,29.46,30.09,11.2,7,11.5,Saturday,5,May,2007,12,15.56,0.46,846.0000000000002
1,2007-05-06,68,49,59.0,4,-1.11,46,6, 0,442,1855, ,0,M,0.0,0.00,29.57,30.29,14.4,11,15.0,Sunday,6,May,2007,19,15.0,0.33,847.8
2,2007-05-06,68,52,60.0,4,-1.11,46,5, 0,442,1855, ,M,M,M,0.00,29.62,30.28,13.8,10,14.5,Sunday,6,May,2007,16,15.56,0.32,847.8
1,2007-05-07,83,47,65.0,10,5.0,54,0, 0,441,1856,RA,0,M,0.0,0,29.38,30.12,8.6,18,10.5,Monday,7,May,2007,36,18.33,0.41,848.9999999999999
2,2007-05-07,84,50,67.0,10,3.89,53,0, 2,441,1856, ,M,M,M,0.00,29.44,30.12,8.5,17,9.9,Monday,7,May,2007,34,19.44,0.36,848.9999999999999
1,2007-05-08,82,54,68.0,12,14.44,62,0, 3,439,1857,BR,0,M,0.0,0.00,29.29,30.03,2.7,11,5.8,Tuesday,8,May,2007,28,20.0,0.7,850.8000000000001
2,2007-05-08,80,60,70.0,12,13.89,63,0, 5,439,1857,HZ,M,M,M,0,29.36,30.02,2.5,8,5.4,Tuesday,8,May,2007,20,21.11,0.63,850.8000000000001
1,2007-05-09,77,61,69.0,13,15.0,63,0, 4,438,1858,BR HZ,0,M,0.0,0.13,29.21,29.94,3.9,9,6.2,Wednesday,9,May,2007,16,20.56,0.7,852.0
2,2007-05-09,76,63,70.0,13,15.56,63,0, 5,438,1858,BR HZ,M,M,M,0.02,29.28,29.93,3.9,7,5.9,Wednesday,9,May,2007,13,21.11,0.71,852.0
1,2007-05-10,84,56,70.0,14,11.11,60,0, 5,437,1859,BR,0,M,0.0,0.00,29.20,29.92,0.7,17,4.1,Thursday,10,May,2007,28,21.11,0.53,853.2
2,2007-05-10,83,59,71.0,14,11.11,61,0, 6,437,1859,BR HZ,M,M,M,0.00,29.26,29.91,2.0,9,3.9,Thursday,10,May,2007,24,21.67,0.51,853.2
1,2007-05-11,70,51,61.0,4,5.56,51,4, 0,436,1860, ,0,M,0.0,0.00,29.33,30.04,11.3,3,12.9,Friday,11,May,2007,19,16.11,0.5,854.4
2,2007-05-11,73,49,61.0,4,6.67,51,4, 0,436,1860, ,M,M,M,0.00,29.39,30.03,11.7,36,12.8,Friday,11,May,2007,24,16.11,0.54,854.4
1,2007-05-12,64,46,55.0,-2,2.22,46,10, 0,435,1901, ,0,M,0.0,0.00,29.49,30.20,12.4,3,12.9,Saturday,12,May,2007,18,12.78,0.49,879.6000000000001
2,2007-05-12,65,47,56.0,-2,2.78,46,9, 0,435,1901, ,M,M,M,0.00,29.54,30.19,12.7,1,13.0,Saturday,12,May,2007,18,13.33,0.49,879.6000000000001
1,2007-05-13,69,43,56.0,-2,0.56,46,9, 0,434,1902, ,0,M,0.0,0.00,29.49,30.24,6.6,14,8.1,Sunday,13,May,2007,26,13.33,0.42,880.8000000000001
